,ele_load,p_el,p_hp,p_eb,p_pv_hour,p_fc_hour,p_bs_hour,p_bs_ch_hour,p_bs_di_hour,g_ht,g_ht_ch,g_ht_di,g_hp,g_eb,g_fc_hour,g_demand,water_load,total_g_load,g_rh,h_fc_hour,h_el,h_hs,h_pur
88,0.948940272,74.28548327,199.8880219,341.9205464,643.9583333,0,868.3777131,538.9068037,511.9914622,1453.273873,0,285.9159401,879.5072962,307.7284917,0,0,33.890724,33.890724,1439.261004,0,1.650788517,16.50788517,0
89,1.42502976,74.28548327,249.6088608,0,378.6074561,0,867.4194442,337.2566418,283.9685596,1135.589495,1047.385068,0,1098.278988,0,0,0,50.89392,50.89392,0,0,1.650788517,18.15867369,0
90,0.560295792,17.36591737,0,0,22.31359649,0,846.4230571,18.96405219,14.57666886,2078.236056,0,20.010564,0,0,0,0,20.010564,20.010564,0,0,0.385909275,19.80946221,0
91,1.337584752,0,0,0,0,0,746.6182995,0,1.337584752,2056.002096,0,47.770884,0,0,0,0,47.770884,47.770884,0,0,0,20.19537148,0
92,2.46141504,0,0,0,0,0,723.2161062,0,2.46141504,2002.923336,0,87.90768,0,0,0,0,87.90768,87.90768,0,0,0,20.19537148,0
93,3.151258992,0,0,0,0,0,688.1307144,0,3.151258992,1905.248136,0,112.544964,0,0,0,0,112.544964,112.544964,0,0,0,20.19537148,0
94,1.596681072,0,0,0,0,0,657.3255256,0,1.596681072,1780.198176,0,57.024324,0,0,0,0,57.024324,57.024324,0,0,0,20.19537148,0
95,0.819392112,0,0,0,0,0,641.6570166,0,0.819392112,1716.837816,0,29.264004,0,0,0,0,29.264004,29.264004,0,0,0,20.19537148,0
96,0.659113392,0,0,0,0,0,632.2347298,0,0.659113392,1684.322256,0,1142.118095,0,0,0,0,23.539764,23.539764,1118.578331,0,0,20.19537148,0
97,0.102867408,0,0,0,0,0,627.1294585,0,0.102867408,415.3021502,0,3.673836,0,0,0,0,3.673836,3.673836,0,0,0,20.19537148,0
98,0.049528752,0,0,0,0,0,626.1388834,0,0.049528752,411.2201102,0,1.768884,0,0,0,0,1.768884,1.768884,0,0,0,20.19537148,0
99,0,0,0,0,0,0,625.8000025,0,0,409.2546835,0,0,0,0,0,0,0,0,0,0,0,20.19537148,0
100,0.049528752,0,0,0,0,0,625.5132571,0,0.049528752,409.2546835,0,1.768884,0,0,0,0,1.768884,1.768884,0,0,0,20.19537148,0
101,0.102867408,10.02871154,0,0,2.894736842,0,568.2953365,0.844298246,8.081140351,407.2892568,0,3.673836,0,0,0,0,3.673836,3.673836,0,0,0.222860256,20.19537148,0
102,0.811509552,74.28548327,0,0,55.84429825,0,348.9902697,9.690664075,28.94335865,403.2072168,0,28.982484,0,0,0,0,28.982484,28.982484,0,0,1.650788517,20.41823174,0
103,2.2859424,74.28548327,4.307712927,69.65207013,152.3355263,0,217.1843372,11.09404476,9.289727172,371.0044568,0,0,18.95393688,62.68686312,0,0,81.6408,81.6408,0,0,1.650788517,22.06902025,0
104,3.0479232,74.28548327,0,117.97311,258.1140351,0,575.9342038,62.80751857,0,371.0044568,0,213.4116565,0,106.175799,0,0,108.8544,108.8544,210.7330555,0,1.650788517,23.71980877,0
